Designator,Footprint,Quantity,Value,LCSC Part #
"24V1, FAN1, TH1",JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,3,Conn_01x02,
"C1, C3",0603,2,100n/50V/0603,
"C2, C5, C6, C7, C8, C9",0805,6,10u/25V/0805,
C4,0603,1,150p/50V/0603,
D1,D_SOD-323,1,1N5819WS,
D2,D_SMB_Handsoldering,1,SS34/SMB,
"D3, D4, D5, D6",0603,4,Red/20mA/0603,
"EXT1, EXT2",PinHeader_2x05_P2.54mm_Vertical,2,Conn_02x05_Odd_Even,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
L2,L_Wuerth_WE-PD2-Typ-L,1,15uH/3A,
Q1,SOT-23_Handsoldering,1,BSS138,
R1,0603,1,1k/0603,
"R10, R9",0603,2,10k/0603,
R11,0603,1,4k7/0.1%/0603,
R12,0603,1,100R/0603,
"R13, R14",0603,2,22k,
R15,0603,1,1k,
R16,0603,1,560R,
"R2, R3, R5, R8",0603,4,100k/0603,
R4,0603,1,24.9k/0603,
R6,0603,1,40.2k/0603,
R7,0603,1,210k/0603,
"RGB1, RGB2",JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical,2,Conn_01x03,
"U1, U2",SOT-23-5_HandSoldering,2,74LVC1G17,
U3,SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.29x3mm_ThermalVias,1,MP1584EN,
U4,SOT-223-3_TabPin2,1,AMS1117-3.3,
